Category,Message
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,How come?
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
ham,Yeah jay's sort of a fucking retard
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,Dai  &lt;#&gt;  naal eruku.
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,I am on the way to ur home
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?
ham,Anything lor but toa payoh got place 2 walk meh...
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,And you! Will expect you whenever you text! Hope all goes well tomo
spam,Get 100 free spins at 'Royal Slots Casino'. Win cash: bit.ly/slots-win-26
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,Shhhhh nobody is supposed to know!
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,Hi! Your table at Walmart is confirmed for 3:00 PM - 5:00 PM.
spam,Your DHL shipment is being held for an unpaid customs duty of $3.15. Pay: dhl-tax.info
spam,"Your WhatsApp security code is 119-203. If you didn't ask for this, click: wa-secure-fix.biz"
spam,Your Airbnb host has requested a security deposit for your stay. Pay: airbnb-pay.net
spam,Alert: Your Binance withdrawal of 1.5 BTC is pending. Not you? Cancel: binance-fix.io
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,Howz that persons story
ham,"Doing nothing, then u not having dinner w us?"
ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
ham,Or i go home first lar ü wait 4 me lor.. I put down my stuff first..
ham,"I shall book chez jules for half eight, if that's ok with you?"
spam,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890£1.50 per msg
spam,Free $100 gas voucher for first responders! Claim yours: gas-rewards.org
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
ham,If you r @ home then come down within 5 min
ham,Nope i'll come online now..
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
ham,I dunno until when... Lets go learn pilates...
ham,Okay. I've seen it. So i should pick it on friday?
spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p"
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,I‘m going to try for 2 months ha ha only joking
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
spam,Alert: Your bank account was accessed from a new IP address. Secure it: bank-alert.me
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
spam,Win a $1000 Visa Gift Card! Click to enter the 'Daily Jackpot' draw: bit.ly/visa-win
ham,Well that must be a pain to catch
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
spam,Your DHL delivery is arriving in 1 hour. Track your courier on the map: dhl-live-tracking.info
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,"Yes, princess. Are you going to make me moan?"
spam,Earn $500/week by watching trailers on your phone: trailer-jobs.net
ham,I have gone into get info bt dont know what to do
spam,Win a free 5-day luxury cruise to the Bahamas! Enter our 'Summer Escape' drawing: bit.ly/cruise-win-2026
ham,So gd got free ice cream... I oso wan...
ham,Howz that persons story
ham,I want snow. It's just freezing and windy.
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,Wow v v impressed. Have funs shopping!
ham,"Aight, you close by or still down around alex's place?"
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
ham,"Sorry, I'll call later"
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,"Alright, see you in a bit"
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,"It's fine, imma get a drink or somethin. Want me to come find you?"
ham,So do you have samus shoulders yet
ham,I can make lasagna for you... vodka...
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
ham,Do well :)all will for little time. Thing of good times ahead:
spam,Get 95% off on all 'SafeHome' Security software. Protect your network: soft-deals.net
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,"Sorry, I'll call later"
ham,I'll talk to the others and probably just come early tomorrow then
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,If u sending her home first it's ok lor. I'm not ready yet.
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
spam,Become a 'Mystery Shopper' for Walmart and get a $100 voucher for every visit. Apply: shopper-jobs.net
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,I'm also came to room.
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ..."
ham,"Sorry, I can't help you on this."
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
ham,You bad girl. I can still remember them
ham,"That's cool he'll be here all night, lemme know when you're around"
ham,K tell me anything about you.
ham,Sorry that was my uncle. I.ll keep in touch
ham,Hey gals...U all wanna meet 4 dinner at nìte?
ham,"Sir, i am waiting for your call."
ham,I'm working technical support :)voice process.
spam,"Win a $1,000 Best Buy Gift Card! Only 2 winners left for March. bit.ly/bb-win-rewards"
ham,what are your new years plans?
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
spam,Your PayPal payment of $499 to 'Electronics Store' was successful. Not you? Dispute here.
ham,They did't play one day last year know even though they have very good team.. Like india.
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
spam,Your DoorDash order is arriving now. Rate your driver to receive a $5 credit.
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
ham,Dude got a haircut. Now its breezy up there
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,I'm at work. Please call
ham,I'm serious. You are in the money base
ham,How are you. Its been ages. How's abj
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.
spam,Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
ham,Ü collecting ur laptop then going to configure da settings izzit?
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,"Arms fine, how's Cardiff and uni?"
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,4 oclock at mine. Just to bash out a flat plan.
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
ham,Will it help if we propose going back again tomorrow
spam,Your Etsy order from 'Jewelry Shop' is arriving today. See tracking: etsy-order-track.me
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
ham,Nope thats fine. I might have a nap tho!
spam,Get a 0% APR credit card for 24 months. No balance transfer fees for a limited time. Apply: credit-offer.biz
spam,"Alert: A suspicious transaction of $1,250.00 to 'CryptoEx' is pending. Not you? Login to stop: bank-auth.me"
ham,i thought we were doing a king of the hill thing there.
ham,No. But we'll do medical missions to nigeria
spam,Get a $1000 Amazon Gift Card for being a loyal prime member! Just verify your email: bit.ly/amzn-loyalty
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Oh ya ya. I remember da. .
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,"K I'm leaving soon, be there a little after 9"
ham,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry
spam,Your Hulu payment was successful. View your $19.99 invoice: hulu-invoice.co
ham,"Jay told me already, will do"
ham,"Sorry my roommates took forever, it ok if I come by now?"
spam,Your American Express card was used for a $600 purchase. Dispute: amex-fix.co
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?"
ham,Still in the area of the restaurant. Ill try to come back soon
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,Hi:)did you asked to waheeda fathima about leave?
ham,"Jus chillaxin, what up"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,I don't think he has spatula hands!
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,What u talking bout early morning? It's almost noon where your at!
ham,Yeah it's jus rite...
ham,How abt making some of the pics bigger?
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
spam,Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ “
ham,Studying. But i.ll be free next weekend.
ham,Shall i ask one thing if you dont mistake me.
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham,Those were my exact intentions
ham,"I‘ll leave around four, ok?"
ham,Aight should I just plan to come up later tonight?
spam,Win a $500 Bass Pro Shops Gift Card! Take our 'Outdoors' survey: bit.ly/bass-pro-survey
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
ham,Yes princess! I want to make you happy...
ham,Just nw i came to hme da..
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,Tiwary to rcb.battle between bang and kochi.
ham,Hey what's up charles sorry about the late reply.
ham,Thinkin about someone is all good. No drugs for that
spam,Get a University Degree based on your professional experience. Accredited and fast: degree-fast.net
ham,Ok i msg u b4 i leave my house.
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,The hair cream has not been shipped.
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
spam,Your iCloud backup has failed. Your photos are at risk. Fix: icloud-fix.co
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Depends on where u going lor.
spam,Win a $1000 Costco Gift Card! Join the 'Member Rewards': bit.ly/costco-win
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
ham,HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
ham,Y bishan lei... I tot ü say lavender?
ham,"How about clothes, jewelry, and trips?"
ham,Ok then i'll let him noe later n ask him call u tmr...
ham,I wont touch you with out your permission.
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Water logging in desert. Geoenvironmental implications.
ham,Can ü all decide faster cos my sis going home liao..
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,Jesus armand really is trying to tell everybody he can find
ham,And by when you're done I mean now
ham,Jus ans me lar. U'll noe later.
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
spam,"Your loan application for $15,000 has been pre-approved. Funds ready in 1 hour. Click to accept."
spam,Win a $1000 Visa Gift Card! Click to enter the daily draw: bit.ly/visa-win-big
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
ham,Just now saw your message.it k da:)
ham,I cant wait to see you! How were the photos were useful? :)
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,Get the new iPhone 16 Pro for just $1! Promotional offer for long-time customers: bit.ly/ph-16
ham,Whatsup there. Dont u want to sleep
ham,Oh god. I'm gonna Google nearby cliffs now.
ham,Lmao ok I wont be needing u to do my hair anymore.
ham,Hey... Why dont we just go watch x men and have lunch... Haha
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
ham,Tell where you reached
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
ham,Then u going ikea str aft dat?
ham,"U so lousy, run already come back then half dead... Hee..."
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,Do you know when the result.
ham,"I'm not coming over, do whatever you want"
ham,Dont know you bring some food
spam,Your PayPal payment of $450 to 'BestBuy' was successful. Not you? Dispute: paypal-fix.co
ham,Did you try making another butt.
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,Can not use foreign stamps in this country. Good lecture .
spam,Win a $500 Shell Gas Card! Help us improve by taking this short survey. bit.ly/gas-win
ham,Yavnt tried yet and never played original either
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
ham,Lol boo I was hoping for a laugh
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
ham,Receipt for your recent purchase at Best Buy. Amount: $228.
ham,Smith waste da.i wanna gayle.
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !
ham,Cold. Dont be sad dear
ham,At 4. Let's go to bill millers
ham,1 in cbe. 2 in chennai.
ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well
ham,Hello which the site to download songs its urgent pls
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,I cant pick the phone right now. Pls send a message
ham,Shb b ok lor... Thanx...
ham,"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her"
spam,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,Haha i think i did too
ham,I didnt get anything da
ham,"No, but you told me you were going, before you got drunk!"
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
spam,Your Microsoft account password was recently changed. Not you? Reset: ms-password-reset.net
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
spam,Win a $500 Bass Pro Shops Gift Card! Take the survey: bit.ly/bass-win-26
ham,Why do you ask princess?
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,Geeeee ... I love you so much I can barely stand it
ham,"Are you sure you don't mean ""get here, we made you hold all the weed"""
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn"
spam,Your computer is leaking personal information. Secure your PC: privacy-fix.co
ham,And he's apparently bffs with carly quick now
ham,All will come alive.better correct any good looking figure there itself..
spam,Final Notice: You have an unpaid parking ticket of $110.00. Pay now: parking-pay.biz
ham,Pls send me the correct name da.
ham,Ya srsly better than yi tho
spam,Lose 10lbs by next weekend with our new 'Metabolic Boost' patches. Buy 1 Get 2 Free: metabolic-sale.biz
ham,You getting back any time soon?
ham,Webpage s not available!
ham,Neshanth..tel me who r u?
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
ham,Prepare to be pounded every night...
spam,Your UPS parcel is at the local distribution center. Schedule delivery: ups-parcel-service.info
ham,I had askd u a question some hours before. Its answer
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?!
ham,* Will have two more cartons off u and is very pleased with shelves
ham,I accidentally deleted the message. Resend please.
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
spam,Your Coinbase account has been restricted. Complete your 'Level 2' verification: coinbase-limit.io
spam,Warning: Your personal data is being sold on the dark web. Protect your identity now: identity-guard-secure.biz
ham,K.i did't see you.:)k:)where are you now?
ham,"Haha yeah I see that now, be there in a sec"
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
ham,"Sorry, I'll call later"
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,I dont have that much image in class.
ham,Wife.how she knew the time of murder exactly
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,On the way to office da..
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
spam,Your computer is broadcasting your private browser history. Secure it: pc-privacy-fix.co
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,"No my blankets are sufficient, thx"
ham,"Haha... Sounds crazy, dunno can tahan anot..."
spam,Earn $30/hr as a social media manager. Work from home. Apply: social-jobs.net
ham,There's no point hangin on to mr not right if he's not makin u happy
spam,"Get a $1,000 Marshalls Gift Card! Take our 'Spring Style' quiz: bit.ly/marshalls-win-2026"
ham,", how's things? Just a quick question."
ham,Alright took the morphine. Back in yo.
ham,No..its ful of song lyrics..
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,Is xy going 4 e lunch?
ham,"I guess you could be as good an excuse as any, lol."
ham,Convey my regards to him
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
ham,Watching ajith film ah?
ham,I tagged MY friends that you seemed to count as YOUR friends.
ham,Just curious because my cuz asked what I was up to
ham,U repeat e instructions again. Wat's e road name of ur house?
spam,Get 95% off on all 'Total Security' software. Protect your home: soft-deals.net
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,K..k..any special today?
ham,"K, text me when you're on the way"
ham,Even i cant close my eyes you are in me our vava playing umma :-D
spam,Your Microsoft 365 account is suspended. Update your payment: ms-billing.net
ham,"I'm a guy, browsin is compulsory"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
